<csv>
AquaCalc Pro (tm) by JBS Instruments (c)2002

S/N:,000000C292FB 
Firmware Version:, AQP-1V1.1.3
File Version:, V1.5

Gage ID:,            Verde blw East Verde
User ID:,              FORREST        
Meter name:,           PAA11 std2
Meter id:,             0-00A     
Meter type:,           PAA11 
Meter Standard:,       SAE   
Meter Revs/Pulses:,   1/1
Meter Const.S1:,      2.2048
Meter Const.O1:,      0.0178
Meter Const.C1:,      0.0000
Meter Const.S2:,      0.0000
Meter Const.O2:,      0.0000
Meter Const.C1:,      0.0000
Meter Const.S3:,      0.0000
Meter Const.O3:,      0.0000
Beg Time:,           06/13/07 11:36
End Time:,           06/13/07 12:08
Meas Time:,           0.53 
Section Diff:,        1.70 
Beg Gage height:,     3.96
End Gage height:,     3.96
Beg Staff height:,    0.00
End Staff height:,    0.00
Estimated Q:,       130.00
Adjusted  Q:,       130.00
Measure time:,       40
Measure standard:,     SAE   
Measure equipment:,    TopSet Rod
Sounding Weight:,      NA
Measure ice:,          No 
Flood Measurement:,    No 
Flood Coef:,          0.00
Max Vertical Q:,      5%
Percent Slope:,       0.0000
Measure Start at:,     REW
Vertical Count:,     27
Section Velocity:,    1.38 
Section Width:,      88.00 
Section Area:,       95.65 
Section Q:,         131.70 
Section Diff:,        1.70 
Section Pct Err:,     1.3%
Section Quality:,      na       
Section WetPerim:,   88.17 
Section Hyd Rad:,     1.08 
Section Manning:,     0.0000 
Section Chezy:,       0.0000 

VERT,   DIST,TDPTH,IDRFT,EDPTH,OBS, TIME,REVS,HA,HC:VF,METH,CLOCK, MVEL, OVEL, VVEL,   SSAREA,      SSQ,SSPCT,  FLAGS
 1,     0.00, 0.00, 0.00, 0.00,  E,     ,    ,  ,     ,    ,11:36,     ,     , 0.00,     0.00,     0.00,  0.0%,
 2,     2.00, 0.50, 0.00, 0.50, o6,46.25,   8, 0, 1.00,1.00,11:37, 0.40, 0.40, 0.40,     1.75,     0.70,  0.5%,
 3,     7.00, 0.50, 0.00, 0.50, o6,40.54,   6, 0, 1.00,1.00,11:39, 0.34, 0.34, 0.34,     2.25,     0.77,  0.6%,
 4,    11.00, 0.75, 0.00, 0.75, o6,44.69,  14, 0, 1.00,1.00,11:40, 0.71, 0.71, 0.71,     3.00,     2.13,  1.6%,
 5,    15.00, 0.75, 0.00, 0.75, o6,40.54,  17, 0, 1.00,1.00,11:42, 0.94, 0.94, 0.94,     3.00,     2.83,  2.1%,
 6,    19.00, 0.85, 0.00, 0.85, o6,40.50,  14, 0, 1.00,1.00,11:43, 0.78, 0.78, 0.78,     2.97,     2.32,  1.8%,
 7,    22.00, 1.00, 0.00, 1.00, o6,42.37,  16, 0, 1.00,1.00,11:44, 0.85, 0.85, 0.85,     3.00,     2.55,  1.9%,
 8,    25.00, 1.15, 0.00, 1.15, o6,41.16,  22, 0, 1.00,1.00,11:46, 1.20, 1.20, 1.20,     3.45,     4.13,  3.1%,
 9,    28.00, 1.25, 0.00, 1.25, o6,41.24,  19, 0, 1.00,1.00,11:47, 1.03, 1.03, 1.03,     3.75,     3.88,  2.9%,
10,    31.00, 1.40, 0.00, 1.40, o6,40.29,  25, 0, 1.00,1.00,11:48, 1.39, 1.39, 1.39,     4.20,     5.82,  4.4%,
11,    34.00, 1.55, 0.00, 1.55, o6,41.24,  31, 0, 1.00,1.00,11:50, 1.68, 1.68, 1.68,     4.65,     7.79,  5.9%,
12,    37.00, 1.60, 0.00, 1.60, o6,40.02,  33, 0, 1.00,1.00,11:51, 1.84, 1.84, 1.84,     4.80,     8.81,  6.7%,
13,    40.00, 1.60, 0.00, 1.60, o6,40.27,  32, 0, 1.00,1.00,11:52, 1.77, 1.77, 1.77,     5.60,     9.91,  7.5%,
14,    44.00, 1.65, 0.00, 1.65, o6,41.05,  20, 0, 1.00,1.00,11:53, 1.09, 1.09, 1.09,     5.78,     6.31,  4.8%,
15,    47.00, 1.50, 0.00, 1.50, o6,40.48,  33, 0, 1.00,1.00,11:54, 1.82, 1.82, 1.82,     4.50,     8.17,  6.2%,
16,    50.00, 1.50, 0.00, 1.50, o6,40.75,  36, 0, 1.00,1.00,11:56, 1.97, 1.97, 1.97,     4.50,     8.85,  6.7%,
17,    53.00, 1.30, 0.00, 1.30, o6,40.40,  35, 0, 1.00,1.00,11:57, 1.93, 1.93, 1.93,     3.90,     7.52,  5.7%,
18,    56.00, 1.45, 0.00, 1.45, o6,41.03,  39, 0, 1.00,1.00,11:58, 2.11, 2.11, 2.11,     4.35,     9.19,  7.0%,
19,    59.00, 1.45, 0.00, 1.45, o6,40.86,  27, 0, 1.00,1.00,11:59, 1.47, 1.47, 1.47,     4.35,     6.42,  4.9%,
20,    62.00, 1.25, 0.00, 1.25, o6,40.59,  25, 0, 1.00,1.00,12:01, 1.38, 1.38, 1.38,     3.75,     5.16,  3.9%,
21,    65.00, 1.40, 0.00, 1.40, o6,40.15,  33, 0, 1.00,1.00,12:02, 1.83, 1.83, 1.83,     4.20,     7.69,  5.8%,
22,    68.00, 1.30, 0.00, 1.30, o6,40.42,  25, 0, 1.00,1.00,12:03, 1.38, 1.38, 1.38,     4.55,     6.29,  4.8%,
23,    72.00, 1.10, 0.00, 1.10, o6,40.28,  20, 0, 1.00,1.00,12:04, 1.11, 1.11, 1.11,     3.85,     4.28,  3.2%,
24,    75.00, 1.00, 0.00, 1.00, o6,40.13,  26, 0, 1.00,1.00,12:05, 1.45, 1.45, 1.45,     3.00,     4.34,  3.3%,
25,    78.00, 1.00, 0.00, 1.00, o6,41.00,  19, 0, 1.00,1.00,12:07, 1.04, 1.04, 1.04,     3.00,     3.12,  2.4%,
26,    81.00, 0.70, 0.00, 0.70, o6,40.70,  14, 0, 1.00,1.00,12:08, 0.78, 0.78, 0.78,     3.50,     2.72,  2.1%,
27,    88.00, 0.00, 0.00, 0.00,  E,     ,    ,  ,     ,    ,12:08,     ,     , 0.00,     0.00,     0.00,  0.0%,

